model_name,num_parameters,lookback_window,epoch,training_loss,validation_loss,validation_horizon,validation_rmse,validation_mse,time_taken_seconds,model_type,target_col,used_log_target,all_feature_cols,scale,horizon,lookback,target_lags,target_mas,feature_lags,step_size,variate,patch_len,stride,d_model,num_encoder_layers,num_attention_heads,dim_ff,dropout,dropout_head_fc,use_norm,activation,learning_rate,seed
patchtst_20260422_052138,2211667,336,1,0.5714291441988565,0.35848674,336,793.3001203635997,629325.0809689019,50.281651735305786,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,2,0.29060059407765154,0.2862114,336,715.7348492049051,512276.3743663683,51.04205274581909,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,3,0.24998840383905965,0.265062,336,691.5383978712545,478225.3557303414,51.827046155929565,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,4,0.2343947615017172,0.25476685,336,679.5785842220542,461827.05213325174,51.78581094741821,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,5,0.22564285582397373,0.24776131,336,671.637622765838,451097.0963145461,51.416515827178955,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,6,0.21949486065757354,0.24320847,336,666.2986212052758,443953.8526200516,51.18943977355957,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,7,0.2146992901781154,0.23986697,336,662.3294187944115,438680.25900054286,50.566155433654785,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,8,0.21058176482564128,0.23620808,336,657.8032380311596,432705.09996427834,50.741368770599365,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,9,0.20649971821573557,0.23259233,336,653.0996592978773,426539.1649750035,50.74152660369873,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,10,0.20222965418588337,0.22864921,336,647.9258816699299,419807.9481377561,50.94899106025696,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,11,0.19810697660577192,0.22484906,336,643.1327401213425,413619.7214159863,50.70784544944763,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,12,0.19428742490039155,0.221976,336,639.3990167149557,408831.10257605213,50.661993741989136,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,13,0.19001706788898984,0.22016056,336,639.1956530609392,408571.0828920006,50.20458197593689,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,14,0.18459290230257364,0.21510202,336,632.4469503591304,399989.14501856425,50.354647636413574,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,15,0.17850908863778658,0.21499777,336,635.4900337398245,403847.5829826433,50.35265612602234,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,16,0.1730392483576298,0.2155224,336,638.6909709727165,407926.1564020714,50.35353684425354,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,17,0.16841701038935641,0.21162228,336,632.6968180155113,400305.2635269531,50.60402202606201,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,18,0.16491980472236153,0.20862591,336,629.4325542305862,396185.3403252399,50.645423412323,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,19,0.16181874601242172,0.20727408,336,628.20555808076,394642.22320355923,50.504178524017334,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,20,0.15918515200148378,0.20144092,336,615.9261282325352,379364.99543952144,50.57517457008362,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,21,0.1568624681836682,0.20369725,336,620.3101127581019,384784.63598996913,50.62206673622131,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,22,0.1549437914443555,0.20565541,336,624.7100528889913,390262.65018056636,50.58066916465759,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,23,0.15331643363283914,0.20364422,336,618.3412001778672,382345.8398374053,50.50992441177368,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
patchtst_20260422_052138,2211667,336,24,0.15184211921717916,0.20549309,336,624.6614665156095,390201.9477494319,50.37789845466614,patchtst,LOG_TOTALDEMAND,True,[],True,336,336,[],[],[],48,MS,16,8,128,3,16,256,0.0,0.0,True,gelu,5e-06,31415
