horizon,lookback,d_model,num_encoder_layers,dim_ff,dropout,learning_rate,validation_rmse,time_taken_seconds,rank_val_rmse
48,720,128,3,256,0.0,5e-06,413.36,51.67,1
48,336,128,3,256,0.0,5e-06,417.01,48.95,2
336,720,128,3,256,0.0,5e-06,609.27,51.95,1
336,336,128,3,256,0.0,5e-06,615.93,50.58,2
720,336,128,3,256,0.0,5e-06,644.78,50.04,1
720,720,128,3,256,0.0,5e-06,660.35,50.91,2
