horizon,lookback,hidden_size,num_layers,dropout,num_attention_heads,val_loss,val_rmse
48,168,128,2,0.2,4,0.1142840608954429,457.6665417666123
48,168,256,4,0.35,8,0.1250654309988021,477.7797169204039
336,336,128,2,0.2,4,0.2543383538722992,685.7763669003984
336,336,256,4,0.35,8,0.301078051328659,738.0633233657935
720,720,128,2,0.2,4,0.3442335724830627,791.0455927108497
720,720,256,4,0.35,8,0.3500586152076721,797.3346719763556
