epoch,train_loss,val_loss,val_rmse,best_epoch,early_stop_epoch,num_parameters,model_type,target_col,used_log_target,all_feature_cols,scale,horizon,lookback,target_lags,target_mas,feature_lags,step_size,forecast_last_step_only,hidden_size,num_layers,dropout,learning_rate,use_mlp_head,mlp_hidden_size,num_attention_heads,seed
1,0.9273913825422989,0.6396207213401794,1061.8292692813448,14,24,5347088,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
2,0.6117147431318006,0.5766924023628235,1015.0413904575197,14,24,5347088,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
3,0.5088909321343961,0.5284063816070557,976.7946826629179,14,24,5347088,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
4,0.4665435499014632,0.48148465156555176,935.3943393849459,14,24,5347088,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
5,0.4030243666987345,0.412799596786499,865.3878109795209,14,24,5347088,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
6,0.3591873871075675,0.38874244689941406,840.6784312517298,14,24,5347088,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
7,0.3432296616580202,0.38238292932510376,832.3747743914851,14,24,5347088,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
8,0.3362934607915928,0.37660548090934753,830.097145146045,14,24,5347088,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
9,0.3270687357903762,0.39020687341690063,837.1073882817191,14,24,5347088,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
10,0.321511834983381,0.4041249752044678,849.1230123308356,14,24,5347088,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
11,0.31434873430531257,0.4045984447002411,848.0520899400169,14,24,5347088,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
12,0.312216476239071,0.36461588740348816,811.5036396513835,14,24,5347088,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,720,720,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
