epoch,train_loss,val_loss,val_rmse,best_epoch,early_stop_epoch,num_parameters,model_type,target_col,used_log_target,all_feature_cols,scale,horizon,lookback,target_lags,target_mas,feature_lags,step_size,forecast_last_step_only,hidden_size,num_layers,dropout,learning_rate,use_mlp_head,mlp_hidden_size,num_attention_heads,seed
1,0.8608723964408601,0.5794433951377869,1030.4924301297976,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
2,0.39458885938569427,0.329628050327301,775.8294026971397,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
3,0.267333159366902,0.26453977823257446,695.170205069853,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
4,0.22797646814104242,0.2334900200366974,652.0556013839888,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
5,0.20713462820721584,0.2089851051568985,615.7344665550464,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
6,0.1923727572312114,0.19303536415100098,589.6232298655134,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
7,0.18060393110734704,0.18554145097732544,576.8669464726248,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
8,0.17079541319369015,0.17692877352237701,562.422716774347,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
9,0.16300175965638858,0.17220351099967957,554.4365759427163,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
10,0.15633700762123476,0.16256390511989594,539.5153873421713,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
11,0.15110450809887066,0.1629602462053299,538.8360279511347,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
12,0.14633425016534082,0.15924742817878723,533.7924448546032,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
13,0.14235389825126996,0.1607706993818283,535.5996914957136,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
14,0.13758731832912824,0.15124402940273285,520.3975335190031,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
15,0.1328172221381325,0.15451563894748688,526.0640960406067,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
16,0.1287980083358729,0.14947645366191864,517.1717965440192,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
17,0.12496227040511315,0.14892271161079407,516.8574035604865,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
18,0.12175414802356413,0.14519144594669342,509.90941094082666,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
19,0.1187923605153217,0.14309363067150116,506.94710046225117,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
20,0.11628649965715111,0.13962969183921814,501.0863229379662,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
21,0.11370034830356007,0.1364688128232956,495.7002620950306,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
22,0.1118899843060228,0.13903693854808807,500.59558227293945,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
23,0.10983792796538913,0.1374226063489914,497.25616536988264,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
24,0.1080324382501562,0.13707467913627625,496.42125050499266,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
25,0.10595212981629493,0.1347835510969162,492.2843543948341,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
26,0.10429026242944035,0.1290820986032486,482.97520950146435,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
27,0.10303518386891095,0.13682609796524048,495.43539046554685,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
28,0.10125886379070817,0.1313748061656952,486.8970101341801,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
29,0.09951571463575298,0.12859447300434113,482.3108137030229,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
30,0.09853996110835528,0.12876252830028534,482.35789486312694,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
31,0.09688662194283695,0.12679195404052734,478.62193727997214,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
32,0.09548645369903964,0.12843313813209534,481.49455553324657,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
33,0.09396707353388255,0.1277780532836914,480.2798936918607,61,71,552048,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,128,2,0.2,1e-05,True,64,4,31415
