epoch,train_loss,val_loss,val_rmse,best_epoch,early_stop_epoch,num_parameters,model_type,target_col,used_log_target,all_feature_cols,scale,horizon,lookback,target_lags,target_mas,feature_lags,step_size,forecast_last_step_only,hidden_size,num_layers,dropout,learning_rate,use_mlp_head,mlp_hidden_size,num_attention_heads,seed
1,0.7181598614187686,0.32074031233787537,770.1394543579089,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
2,0.2720468673468752,0.24722892045974731,670.8863436257939,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
3,0.21092476913898864,0.22972014546394348,644.9838836066723,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
4,0.18379072190279042,0.19375357031822205,591.0792298397806,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
5,0.16449014437800305,0.17089255154132843,556.3077842784828,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
6,0.1502275993777676,0.15813837945461273,534.685442949213,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
7,0.13861103282396495,0.15873417258262634,535.4714164064973,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
8,0.12996540521096825,0.16024644672870636,537.9666115380177,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
9,0.12284581391965647,0.15014342963695526,521.1933925569481,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
10,0.11659362972000568,0.14577293395996094,514.1989055751079,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
11,0.1104050580757849,0.14180535078048706,506.9055871762867,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
12,0.10526039786835123,0.1384274661540985,500.9879420771971,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
13,0.10102288753801501,0.1372392773628235,498.17925948032524,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
14,0.09740779935675267,0.13575303554534912,496.0576311721651,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
15,0.0942557317071642,0.137581467628479,498.81000378228117,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
16,0.09127882113819408,0.1294841319322586,484.8871031142717,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
17,0.08879033131274665,0.1396080106496811,503.30350794791394,26,36,5303408,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,48,168,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
