epoch,train_loss,val_loss,val_rmse,best_epoch,early_stop_epoch,num_parameters,model_type,target_col,used_log_target,all_feature_cols,scale,horizon,lookback,target_lags,target_mas,feature_lags,step_size,forecast_last_step_only,hidden_size,num_layers,dropout,learning_rate,use_mlp_head,mlp_hidden_size,num_attention_heads,seed
1,0.884732668572916,0.6086428165435791,1044.9260569942765,16,26,5322128,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,336,336,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
2,0.5544318131388891,0.5033206939697266,955.247181823222,16,26,5322128,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,336,336,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
3,0.41350672845982867,0.39709964394569397,847.3130416224824,16,26,5322128,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,336,336,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
4,0.34941203890696365,0.3609812557697296,807.9325728677624,16,26,5322128,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,336,336,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
5,0.3278513348495432,0.34401941299438477,788.4452000702265,16,26,5322128,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,336,336,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
6,0.3141542120724456,0.3388824164867401,779.5788950803911,16,26,5322128,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,336,336,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
7,0.3034892646417436,0.33545637130737305,773.6445876683526,16,26,5322128,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,336,336,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
8,0.29383931580612516,0.32131049036979675,758.2314667246559,16,26,5322128,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,336,336,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
9,0.28584982750958443,0.32859179377555847,763.2276366528394,16,26,5322128,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,336,336,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
10,0.27856042263712866,0.31125199794769287,746.583947314933,16,26,5322128,bilstm,LOG_TOTALDEMAND,True,"['TEMPERATURE', 'LOG_TOTALDEMAND_lag_48', 'LOG_TOTALDEMAND_lag_336']",True,336,336,"[48, 336]",[],[],48,False,256,4,0.35,1e-05,True,64,8,31415
