model_name,order,seasonal_order,training_aic,validation_horizon,validation_iters,validation_mae,validation_mse,validation_rmse,time_taken_seconds,model_type,target_col,used_log_target,all_feature_cols,scale,horizon,training_size,target_lags,target_mas,feature_lags,step_size,p,d,q,P,D,Q,seasonality_period,enforce_stationarity,enforce_invertibility
sarimax_20260418_012346,"(3, 0, 0)","(1, 1, 1, 48)",-4455.098810429802,336,48,456.53599589557217,423332.39862915577,650.6399915691901,225.32573342323303,SARIMAX,LOG_TOTALDEMAND,True,"['demand_1_week_ago', 'demand_1_year_ago', 'TEMPERATURE', 'TEMP_SQUARED', 'IS_WEEKEND']",True,336,1440,[],[],[],48,"[3, 4, 5]",[0],[0],[1],[1],[1],48,True,True
sarimax_20260418_012346,"(4, 0, 0)","(1, 1, 1, 48)",-4427.1340897068985,336,48,453.3279478473457,419455.02900472155,647.6534791111073,233.37007594108582,SARIMAX,LOG_TOTALDEMAND,True,"['demand_1_week_ago', 'demand_1_year_ago', 'TEMPERATURE', 'TEMP_SQUARED', 'IS_WEEKEND']",True,336,1440,[],[],[],48,"[3, 4, 5]",[0],[0],[1],[1],[1],48,True,True
