file_name,rmse,mae
patchtst_run_h48_c144_s11235_test_results.csv,515.5115142409917,328.9876385299314
patchtst_run_h48_c144_s14142_test_results.csv,506.7475883535186,320.5757261537949
patchtst_run_h48_c144_s17320_test_results.csv,530.1677257677363,328.5145394629425
patchtst_run_h48_c144_s22360_test_results.csv,528.6706292447785,329.58868762433434
patchtst_run_h48_c144_s27182_test_results.csv,510.0217183481584,321.03806131738355
patchtst_run_h48_c144_s31415_test_results.csv,505.9127959440447,320.2019427109266
patchtst_run_h48_c144_s43210_test_results.csv,520.7310598380574,326.8255681119901
patchtst_run_h48_c144_s57721_test_results.csv,529.5291183327456,327.4029460237598
patchtst_run_h48_c144_s66987_test_results.csv,526.1952163003136,322.078954903078
patchtst_run_h48_c144_s98765_test_results.csv,514.2205106548931,321.81195826644205
patchtst_run_h48_c336_s11235_test_results.csv,486.7089818229237,302.64756519750057
patchtst_run_h48_c336_s14142_test_results.csv,498.54825628971855,302.671522825312
patchtst_run_h48_c336_s17320_test_results.csv,485.5941547082846,302.3528955520563
patchtst_run_h48_c336_s22360_test_results.csv,488.2674979934143,305.06865710174384
patchtst_run_h48_c336_s27182_test_results.csv,493.7312522084587,305.2303334150228
patchtst_run_h48_c336_s31415_test_results.csv,491.7885856972248,303.58486987405763
patchtst_run_h48_c336_s43210_test_results.csv,492.7031127596424,305.63406434447813
patchtst_run_h48_c336_s57721_test_results.csv,491.5339907826665,306.82121562946367
patchtst_run_h48_c336_s66987_test_results.csv,481.1053887855796,303.5379305621836
patchtst_run_h48_c336_s98765_test_results.csv,494.0321100295165,307.83008832040383
patchtst_run_h48_c720_s11235_test_results.csv,496.2451554395012,310.79260314365
patchtst_run_h48_c720_s14142_test_results.csv,497.64323369832033,308.52932886794446
patchtst_run_h48_c720_s17320_test_results.csv,496.22278986597127,305.3661516983565
patchtst_run_h48_c720_s22360_test_results.csv,503.69574578792736,306.3250540686966
patchtst_run_h48_c720_s27182_test_results.csv,503.84335048480784,314.02562052191394
patchtst_run_h48_c720_s31415_test_results.csv,491.5390744070198,303.3803435319824
patchtst_run_h48_c720_s57721_test_results.csv,499.8696215179281,309.2030936847974
patchtst_run_h48_c720_s66987_test_results.csv,494.32528181432855,305.2803235468945
