epoch,train_loss,val_loss,best_epoch,early_stop_epoch
1,0.9355001830022022,0.7280808687210083,63,73
2,0.6269368251723517,0.5237736105918884,63,73
3,0.4810916353501014,0.44846415519714355,63,73
4,0.4012242402287091,0.40556004643440247,63,73
5,0.3594529905117342,0.3817914128303528,63,73
6,0.3386911939453235,0.3726406693458557,63,73
7,0.32686169237042967,0.36384469270706177,63,73
8,0.3188726297826674,0.354975163936615,63,73
9,0.31213222847274585,0.35090839862823486,63,73
10,0.3057616049129048,0.34518852829933167,63,73
11,0.2996491383945072,0.3405941426753998,63,73
12,0.2940009240167914,0.3351942002773285,63,73
13,0.28868946880488733,0.33086279034614563,63,73
14,0.28335410431596075,0.32686927914619446,63,73
15,0.2783196904979559,0.32525435090065,63,73
16,0.2737356848199865,0.32211676239967346,63,73
17,0.26955140154671076,0.31640180945396423,63,73
18,0.26554342098252576,0.3124390244483948,63,73
19,0.26180499932163304,0.31061995029449463,63,73
20,0.25864073125546144,0.3114335536956787,63,73
21,0.25621137446190406,0.3042932450771332,63,73
22,0.25352470629259255,0.3021042048931122,63,73
23,0.25082905506663705,0.30128195881843567,63,73
24,0.2482956948394896,0.29820218682289124,63,73
25,0.24612932866393353,0.2976857125759125,63,73
26,0.24347591545365155,0.29454123973846436,63,73
27,0.24114893442545413,0.2928427457809448,63,73
28,0.2387028380606001,0.28914105892181396,63,73
29,0.23614205429149435,0.292049765586853,63,73
30,0.23375672951100326,0.2824365794658661,63,73
31,0.2310041518759431,0.2814823389053345,63,73
32,0.22845409784827253,0.2836238741874695,63,73
33,0.2261214035500457,0.2797161042690277,63,73
34,0.22392243738752085,0.2801765501499176,63,73
35,0.22207122751387923,0.2766239643096924,63,73
36,0.21977951716053606,0.27403032779693604,63,73
37,0.218163234871904,0.27967801690101624,63,73
38,0.2166373617475085,0.2735178768634796,63,73
39,0.2144627415757836,0.2706410586833954,63,73
40,0.21312899366690663,0.27252376079559326,63,73
41,0.21155860501402066,0.2715770900249481,63,73
42,0.20994670555932848,0.27128997445106506,63,73
43,0.20858894556398863,0.26972830295562744,63,73
44,0.20704680702518413,0.26771700382232666,63,73
45,0.20594652780048847,0.2657672166824341,63,73
46,0.20417015263069463,0.26258406043052673,63,73
47,0.20348940340429292,0.265746146440506,63,73
48,0.20202560805241748,0.26744741201400757,63,73
49,0.20061172043133818,0.2663596272468567,63,73
50,0.19921695801953326,0.2684178948402405,63,73
51,0.19790262252122615,0.26589125394821167,63,73
52,0.19663623016920512,0.2628106474876404,63,73
53,0.19523114633142452,0.26482677459716797,63,73
54,0.19426229747071294,0.26295140385627747,63,73
55,0.19296491454901424,0.2627238929271698,63,73
56,0.19141205306357403,0.26206445693969727,63,73
57,0.19042681979878476,0.26322513818740845,63,73
58,0.18916885994536387,0.25871697068214417,63,73
59,0.18809216283436855,0.2609393894672394,63,73
60,0.18683912644965553,0.2581288814544678,63,73
61,0.18573906429101592,0.26116546988487244,63,73
62,0.18445475560344018,0.26136040687561035,63,73
63,0.18307496856225902,0.25631412863731384,63,73
64,0.18220477153131082,0.2568529546260834,63,73
65,0.18089303980376722,0.2572532594203949,63,73
66,0.17979087228814825,0.2567107081413269,63,73
67,0.17869436934051933,0.2573999762535095,63,73
68,0.1778107978313647,0.25755637884140015,63,73
69,0.17624260473238793,0.2652255892753601,63,73
70,0.17543797024695565,0.2626033425331116,63,73
71,0.17417582337173318,0.25677382946014404,63,73
72,0.17291102665915778,0.25916850566864014,63,73
73,0.1718187630479083,0.26263049244880676,63,73
