epoch,train_loss,val_loss,best_epoch,early_stop_epoch
1,0.9358872100500772,0.7607497572898865,74,84
2,0.6597915940138256,0.5157110691070557,74,84
3,0.47595260343807294,0.432722806930542,74,84
4,0.3909760794030207,0.38941383361816406,74,84
5,0.35346349124626614,0.37524884939193726,74,84
6,0.3355338028885796,0.3663039803504944,74,84
7,0.32493285379468234,0.35779476165771484,74,84
8,0.3174601811351877,0.35241997241973877,74,84
9,0.3107776656457211,0.3430190980434418,74,84
10,0.3042860319413883,0.33561864495277405,74,84
11,0.29778393215714855,0.32970088720321655,74,84
12,0.2914353190953917,0.3226110339164734,74,84
13,0.2855284476040871,0.3166120946407318,74,84
14,0.27950253431772915,0.313510924577713,74,84
15,0.27412875324244534,0.31101030111312866,74,84
16,0.2699945125112983,0.3048548400402069,74,84
17,0.26458223426225924,0.3056302070617676,74,84
18,0.2604465869538259,0.3301754593849182,74,84
19,0.25699939356489543,0.29785677790641785,74,84
20,0.2527322938407539,0.2995074391365051,74,84
21,0.24961812981054307,0.30069246888160706,74,84
22,0.2464997225087061,0.2977657616138458,74,84
23,0.2425259590937768,0.2925318777561188,74,84
24,0.23896453426929193,0.2916302978992462,74,84
25,0.2354431089057095,0.2905678153038025,74,84
26,0.23248268255735827,0.2874760925769806,74,84
27,0.2296636377989262,0.2864798903465271,74,84
28,0.22663713570944855,0.2819090187549591,74,84
29,0.22444088867688916,0.2835370600223541,74,84
30,0.2220292304805218,0.2839788496494293,74,84
31,0.22005590637021438,0.2847169041633606,74,84
32,0.2179627222472861,0.2803124189376831,74,84
33,0.21624891421003986,0.2782391607761383,74,84
34,0.2143256388898496,0.27694904804229736,74,84
35,0.21263594133816174,0.2819972634315491,74,84
36,0.21129260392333707,0.2755637764930725,74,84
37,0.20961033548094857,0.2818358838558197,74,84
38,0.2086032072565594,0.2784478962421417,74,84
39,0.2069613864898108,0.27592459321022034,74,84
40,0.20564348680540892,0.2772490382194519,74,84
41,0.20449148358566158,0.2730896770954132,74,84
42,0.2030864733522331,0.27709415555000305,74,84
43,0.20172482859610114,0.2722528278827667,74,84
44,0.20046937097690784,0.27676722407341003,74,84
45,0.1993462809020426,0.2743343114852905,74,84
46,0.19804213156120873,0.2695819139480591,74,84
47,0.19698862351434288,0.2713145613670349,74,84
48,0.19612253369767627,0.26564228534698486,74,84
49,0.19489069516915963,0.26858842372894287,74,84
50,0.19349292577171334,0.26813873648643494,74,84
51,0.19239081590432092,0.27005866169929504,74,84
52,0.1914686829755955,0.268975168466568,74,84
53,0.19056030361751966,0.2673427164554596,74,84
54,0.1891505609855045,0.2657569646835327,74,84
55,0.18792064389721022,0.26494839787483215,74,84
56,0.1866811086626193,0.27023839950561523,74,84
57,0.18591847215177654,0.26917794346809387,74,84
58,0.18450075820697387,0.2668672800064087,74,84
59,0.1833546719488517,0.2675144672393799,74,84
60,0.18230466338509513,0.26771146059036255,74,84
61,0.18112159154511673,0.266649067401886,74,84
62,0.18019710928308125,0.2680349349975586,74,84
63,0.17887564815560394,0.2688329815864563,74,84
64,0.17792470935556626,0.2693866789340973,74,84
65,0.17686359160833082,0.2636917531490326,74,84
66,0.1757387603526412,0.26569804549217224,74,84
67,0.17475067891048016,0.2672080099582672,74,84
68,0.17354549252592935,0.2697101831436157,74,84
69,0.17246079075563697,0.2624005079269409,74,84
70,0.17123858822097088,0.26141706109046936,74,84
71,0.16998575062448246,0.265270471572876,74,84
72,0.16899841614413513,0.2659716308116913,74,84
73,0.16777098416860792,0.2581312358379364,74,84
74,0.16655142660378003,0.250893771648407,74,84
75,0.16563836311439725,0.2566482126712799,74,84
76,0.1643715430037502,0.26382753252983093,74,84
77,0.1630011388232449,0.2612980604171753,74,84
78,0.16196593244340127,0.26642897725105286,74,84
79,0.16092567314405828,0.26002073287963867,74,84
80,0.15992093805612942,0.2591687738895416,74,84
81,0.15862398738856065,0.26164379715919495,74,84
82,0.15735844923606665,0.2560654282569885,74,84
83,0.15633752711595447,0.262220174074173,74,84
84,0.1551125391840993,0.26528048515319824,74,84
